 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.
  -.1705E-08   .6600      -.8210    
   .1359E-07  -.1653E-01  -1.025    
   .1532E-07   .1169      -1.020    
   .1616E-07   .2481      -1.001    
   .9313E-08   .3683      -.9703    
   .6716E-08   .4690      -.9334    
   .7163E-08   .5484      -.8949    
   .6638E-08   .6103      -.8573    
   .6861E-08   .6600      -.8210    
   0  448 a/b   upsx       upsy       phi          Fx          Fy         aM
   .4222E-08   .9999      -.2020E-01
   .1068E-07   .9782       .2445    
   .4284E-07   .9240       .4437    
   .3082E-07   .8624       .5786    
   .2110E-07   .8040       .6703    
   .1385E-07   .7518       .7347    
   .8582E-08   .7060       .7815    
   .1731E-07   .6654       .8168    
  -.1359E-07   .1653E-01   1.025    
  -.1200E-07   .1860       1.012    
  -.9820E-08   .3277       .9823    
  -.7073E-08   .4342       .9477    
  -.6148E-08   .5129       .9136    
  -.5932E-08   .5741       .8804    
  -.5553E-08   .6238       .8482    
  -.4990E-08   .6654       .8168    
  -.2951E-07   .9999      -.2020E-01
  -.2004E-07   .9696      -.2874    
  -.2474E-07   .9051      -.4910    
  -.2250E-07   .8321      -.6291    
  -.1721E-07   .7624      -.7224    
  -.1124E-07   .6993      -.7872    
  -.5485E-08   .6428      -.8339    
   .6724E-10   .5914      -.8692    
   .1359E-07  -.1653E-01  -1.025    
   .1509E-07   .8912E-01  -1.022    
   .1739E-07   .1953      -1.010    
   .9250E-08   .2978      -.9894    
   .1227E-07   .3911      -.9625    
   .1186E-07   .4712      -.9321    
   .1003E-07   .5372      -.9005    
   .1285E-07   .5914      -.8692    
   0  480 a/b   upsx       upsy       phi          Fx          Fy         aM
  -.1088E-07   .9998      -.2377E-01
   .1614E-07   .9705       .2828    
   .1091E-07   .9033       .4950    
   .8657E-08   .8327       .6283    
   .3941E-07   .7691       .7147    
   .2407E-07   .7142       .7735    
   .1403E-07   .6670       .8153    
   .7372E-08   .6260       .8465    
  -.1359E-07   .1653E-01   1.025    
  -.1210E-07   .1673       1.014    
  -.1017E-07   .2969       .9901    
  -.7265E-08   .3980       .9607    
  -.6762E-08   .4749       .9310    
  -.8112E-08   .5352       .9021    
  -.9336E-08   .5844       .8740    
  -.1002E-07   .6260       .8465    
   .1686E-07   .9998      -.2377E-01
  -.2111E-10   .9584      -.3338    
   .1449E-08   .8766      -.5514    
   .4749E-08   .7905      -.6877    
   .6333E-08   .7120      -.7749    
   .5720E-08   .6423      -.8338    
   .4354E-08   .5805      -.8754    
   .4052E-08   .5250      -.9063    
   .1359E-07  -.1653E-01  -1.025    
   .2292E-07   .6908E-01  -1.023    
   .1774E-07   .1563      -1.015    
   .9486E-08   .2430      -1.001    
   .1403E-07   .3259      -.9818    
   .1757E-07   .4017      -.9584    
   .1806E-07   .4681      -.9328    
   .1479E-07   .5250      -.9063    
   0  512 a/b   upsx       upsy       phi          Fx          Fy         aM
   .4001       .5574E-07   .1775E-07
   .2175       .1149       .7682    
   .1238       .1732       .9253    
   .8292E-01   .1994       .9650    
   .6444E-01   .2130       .9816    
   .4355E-01   .2165       .9932    
   .3083E-01   .2073       1.000    
   .2435E-01   .1924       1.005    
  -.1358E-07   .1653E-01   1.025    
   .2343E-02   .5113E-01   1.024    
   .4809E-02   .8297E-01   1.022    
   .7665E-02   .1114       1.019    
   .1105E-01   .1363       1.015    
   .1500E-01   .1580       1.012    
   .1946E-01   .1765       1.008    
   .2435E-01   .1924       1.005    
   .4001       .8465E-07  -.2164E-07
   .2175      -.1149      -.7682    
   .1238      -.1732      -.9253    
   .8292E-01  -.1994      -.9650    
   .6444E-01  -.2130      -.9816    
   .4355E-01  -.2165      -.9932    
   .3083E-01  -.2073      -1.000    
   .2435E-01  -.1924      -1.005    
   .1359E-07  -.1653E-01  -1.025    
   .2343E-02  -.5113E-01  -1.024    
   .4809E-02  -.8297E-01  -1.022    
   .7665E-02  -.1114      -1.019    
   .1105E-01  -.1363      -1.015    
   .1500E-01  -.1580      -1.012    
   .1946E-01  -.1765      -1.008    
   .2435E-01  -.1924      -1.005    
   0  544 a/b   upsx       upsy       phi          Fx          Fy         aM
   .3746       .3820      -.4732E-01
   .2138       .4229       .7098    
   .1217       .4107       .8826    
   .8621E-01   .3900       .9331    
   .6374E-01   .3674       .9571    
   .4668E-01   .3392       .9715    
   .3650E-01   .3100       .9809    
   .2929E-01   .2846       .9881    
  -.1358E-07   .1653E-01   1.025    
   .2380E-02   .6812E-01   1.023    
   .5071E-02   .1161       1.019    
   .8454E-02   .1592       1.014    
   .1267E-01   .1973       1.008    
   .1768E-01   .2306       1.001    
   .2328E-01   .2594       .9946    
   .2929E-01   .2846       .9881    
   .3746       .3820      -.4732E-01
   .2142       .2076      -.7768    
   .1242       .8756E-01  -.9379    
   .8173E-01   .1673E-01  -.9791    
   .6436E-01  -.3039E-01  -.9941    
   .4515E-01  -.6369E-01  -1.004    
   .2707E-01  -.8326E-01  -1.011    
   .1858E-01  -.8870E-01  -1.015    
   .1359E-07  -.1653E-01  -1.025    
   .2312E-02  -.3406E-01  -1.024    
   .4580E-02  -.4933E-01  -1.023    
   .6950E-02  -.6204E-01  -1.022    
   .9509E-02  -.7215E-01  -1.021    
   .1229E-01  -.7983E-01  -1.019    
   .1528E-01  -.8529E-01  -1.017    
   .1858E-01  -.8870E-01  -1.015    
   0  576 a/b   upsx       upsy       phi          Fx          Fy         aM
   .3200       .6683      -.6255E-01
   .2012       .6656       .6249    
   .1185       .5974       .8193    
   .8371E-01   .5360       .8881    
   .6245E-01   .4804       .9219    
   .4937E-01   .4340       .9424    
   .3992E-01   .3964       .9569    
   .3272E-01   .3647       .9678    
  -.1358E-07   .1653E-01   1.025    
   .2421E-02   .8502E-01   1.022    
   .5362E-02   .1485       1.016    
   .9290E-02   .2051       1.007    
   .1428E-01   .2543       .9978    
   .2010E-01   .2968       .9876    
   .2635E-01   .3332       .9775    
   .3272E-01   .3647       .9678    
   .3200       .6683      -.6255E-01
   .2026       .4828      -.7256    
   .1211       .3256      -.9086    
   .8223E-01   .2217      -.9652    
   .6680E-01   .1498      -.9873    
   .4988E-01   .9494E-01  -1.002    
   .2925E-01   .5511E-01  -1.011    
   .1598E-01   .2745E-01  -1.017    
   .1358E-07  -.1653E-01  -1.025    
   .2285E-02  -.1692E-01  -1.025    
   .4386E-02  -.1528E-01  -1.024    
   .6339E-02  -.1145E-01  -1.024    
   .8154E-02  -.5470E-02  -1.023    
   .9824E-02   .2509E-02  -1.021    
   .1134E-01   .1218E-01  -1.020    
   .1598E-01   .2745E-01  -1.017    
   0  608 a/b   upsx       upsy       phi          Fx          Fy         aM
   .2662       .8579      -.5722E-01
   .1801       .8271       .5314    
   .1117       .7244       .7455    
   .7959E-01   .6332       .8331    
   .6150E-01   .5647       .8805    
   .4973E-01   .5118       .9100    
   .4122E-01   .4692       .9302    
   .3459E-01   .4333       .9451    
  -.1358E-07   .1653E-01   1.025    
   .2466E-02   .1018       1.021    
   .5676E-02   .1801       1.012    
   .1015E-01   .2488       .9997    
   .1578E-01   .3071       .9861    
   .2209E-01   .3563       .9721    
   .2847E-01   .3977       .9584    
   .3459E-01   .4333       .9451    
   .2662       .8579      -.5722E-01
   .1859       .6930      -.6360    
   .1148       .5237      -.8461    
   .8175E-01   .4012      -.9257    
   .6740E-01   .3125      -.9619    
   .5290E-01   .2436      -.9846    
   .3349E-01   .1902      -.9986    
   .1691E-01   .1473      -1.009    
   .1358E-07  -.1653E-01  -1.025    
   .2263E-02   .2693E-03  -1.025    
   .4235E-02   .1905E-01  -1.024    
   .5868E-02   .3991E-01  -1.023    
   .7128E-02   .6274E-01  -1.021    
   .8008E-02   .8729E-01  -1.019    
   .8837E-02   .1134      -1.015    
   .1691E-01   .1473      -1.009    
   0  640 a/b   upsx       upsy       phi          Fx          Fy         aM
   .2145       .9586      -.4138E-01
   .1549       .9076       .4448    
   .1032       .7945       .6691    
